global_generation,stage,stage_generation,fitness,Tdelay,Tair,ORISK,Nc,n_delay,n_battery,conflict_pairs,delta
189,stage1,189,4256769.056938372,5624.443670143741,58669.49183071014,1131.8928205415793,98,4,0,58,0.9246368500159375
190,stage1,190,4247500.943956075,5624.443670143741,58669.49183071014,1131.8928205415793,98,4,0,58,0.9226219062500001
191,stage1,191,4238033.080267164,5573.141794946918,58669.49183071014,1131.8928205415793,98,4,0,58,0.9205640931403125
192,stage1,192,4228367.466215726,5573.141794946918,58669.49183071014,1131.8928205415793,98,4,0,58,0.91846273024
193,stage1,193,4218497.740568531,5560.474779548788,58669.49183071014,1131.8928205415793,98,4,0,58,0.9163171299396875
194,stage1,194,4208421.97412066,5560.474779548788,58669.49183071014,1131.8928205415793,98,4,0,58,0.91412659743
195,stage1,195,4198135.159966764,5537.587621866034,58669.49183071014,1131.8928205415793,98,4,0,58,0.9118904306640625
196,stage1,196,4187635.266060317,5516.425564601222,58669.49183071014,1131.8928205415793,98,4,0,58,0.90960792032
197,stage1,197,4176919.719730459,5511.46108355534,58669.49183071014,1131.8928205415793,98,4,0,58,0.9072783497634375
198,stage1,198,4165983.720161072,5493.279903457108,58669.49183071014,1131.8928205415793,98,4,0,58,0.90490099501
199,stage1,199,4154824.991770401,5483.65204034755,58669.49183071014,1131.8928205415793,98,4,0,58,0.9024751246878124
200,stage1,200,4143346.3398979343,5606.648988742919,58669.49183071014,1131.8928205415793,98,3,0,58,0.9
